cohort,variant,case_id,initial_errors,final_errors,error_reduction,clean_fact_preservation,overrepair_rate,triple_precision,triple_recall,triple_f1,exact_match,repair,applied,trials
controlled,uniform_absolute,environment-08f31c70d080,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,uniform_relative,environment-08f31c70d080,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_absolute,environment-08f31c70d080,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_relative,environment-08f31c70d080,4.0,2.0,0.5,1.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.5,1,6
controlled,uniform_absolute,environment-0c6bdf88582b,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,uniform_relative,environment-0c6bdf88582b,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_absolute,environment-0c6bdf88582b,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_relative,environment-0c6bdf88582b,4.0,2.0,0.5,1.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.5,1,6
controlled,uniform_absolute,environment-0cc2a07302ce,3.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,uniform_relative,environment-0cc2a07302ce,3.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,learned_absolute,environment-0cc2a07302ce,3.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,learned_relative,environment-0cc2a07302ce,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,4
controlled,uniform_absolute,environment-114d47ef5968,4.0,1.0,0.75,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,uniform_relative,environment-114d47ef5968,4.0,1.0,0.75,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,learned_absolute,environment-114d47ef5968,4.0,1.0,0.75,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,learned_relative,environment-114d47ef5968,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,4
controlled,uniform_absolute,environment-131aae4a913e,3.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,uniform_relative,environment-131aae4a913e,3.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,learned_absolute,environment-131aae4a913e,3.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,0,2
controlled,learned_relative,environment-131aae4a913e,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,4
controlled,uniform_absolute,environment-1c5352baae54,3.0,3.0,0.0,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,uniform_relative,environment-1c5352baae54,3.0,3.0,0.0,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_absolute,environment-1c5352baae54,3.0,3.0,0.0,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_relative,environment-1c5352baae54,3.0,2.0,0.3333333333333333,1.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.5,1,6
controlled,uniform_absolute,environment-1c5e4f114bd3,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,uniform_relative,environment-1c5e4f114bd3,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_absolute,environment-1c5e4f114bd3,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_relative,environment-1c5e4f114bd3,4.0,2.0,0.5,1.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.5,1,6
controlled,uniform_absolute,environment-243394657c39,3.0,3.0,0.0,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,uniform_relative,environment-243394657c39,3.0,3.0,0.0,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
controlled,learned_absolute,environment-243394657c39,3.0,3.0,0.0,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,3
