cohort,variant,n,triple_f1,exact_match,clean_fact_preservation,overrepair_rate,repair,normalized_f1,applied,trial_count,wall_seconds
controlled,learned_always,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.607595375739038
controlled,learned_trigger,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.354610277339816
controlled,no_cost,225,0.8930077330077331,0.06222222222222222,1.0,0.0014814814814814814,0.4688888888888889,,68,220,1.6051865480840206
controlled,no_density,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.4812453389167786
controlled,no_graph_score,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.505806147120893
controlled,no_local_score,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.528446632437408
controlled,no_prior,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.5470607979223132
controlled,no_profile_bounds,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.4784372821450233
controlled,no_rule_candidates,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.5398580264300108
controlled,no_source_score,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.5098082153126597
controlled,rule_only,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,0,1.0679071703925729
controlled,single_step,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.4847986875101924
controlled,uniform_always,225,0.8471957671957672,0.06222222222222222,1.0,0.0,0.32,,0,220,1.5008072033524513
natural,learned_always,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.175437775440514
natural,learned_trigger,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,0.5239431876689196
natural,no_cost,225,0.8813059344431892,0.6577777777777778,1.0,0.03762962962962963,,,12,92,1.117077182047069
natural,no_density,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.0860095415264368
natural,no_graph_score,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.1442435551434755
natural,no_local_score,225,0.8799437599437598,0.6577777777777778,1.0,0.0,,,0,86,1.129758421331644
natural,no_prior,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.1068023014813662
natural,no_profile_bounds,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.1587085779756308
natural,no_rule_candidates,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.0846018120646477
natural,no_source_score,225,0.8799437599437598,0.6577777777777778,1.0,0.04,,,9,107,1.134579673409462
natural,rule_only,225,0.8799437599437598,0.6577777777777778,1.0,0.0,,,0,0,0.9987225979566574
natural,single_step,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.1018111798912287
natural,uniform_always,225,0.8832770932770933,0.6577777777777778,1.0,0.02666666666666667,,,9,86,1.155973892658949
