cohort,case_id,variant,initial_errors,final_errors,error_reduction,clean_fact_preservation,overrepair_rate,triple_precision,triple_recall,triple_f1,exact_match,repair,applied,trial_count,wall_seconds
controlled,environment-08f31c70d080,uniform_always,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.006257535889744759
controlled,environment-08f31c70d080,learned_always,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.02295710612088442
controlled,environment-08f31c70d080,learned_trigger,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.010262508876621723
controlled,environment-08f31c70d080,no_prior,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.0067199161276221275
controlled,environment-08f31c70d080,no_cost,4.0,1.0,0.75,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5,1,2,0.00722165871411562
controlled,environment-08f31c70d080,no_density,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.006123069673776627
controlled,environment-08f31c70d080,no_profile_bounds,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.006528852507472038
controlled,environment-08f31c70d080,single_step,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.007047622464597225
controlled,environment-08f31c70d080,no_rule_candidates,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.01471755001693964
controlled,environment-08f31c70d080,rule_only,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,0,0.004528731107711792
controlled,environment-08f31c70d080,no_local_score,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.006503332406282425
controlled,environment-08f31c70d080,no_graph_score,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.005818863399326801
controlled,environment-08f31c70d080,no_source_score,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.005800947546958923
controlled,environment-0c6bdf88582b,uniform_always,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.01725784782320261
controlled,environment-0c6bdf88582b,learned_always,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.012818997725844383
controlled,environment-0c6bdf88582b,learned_trigger,4.0,3.0,0.25,1.0,0.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0,0.0,0,2,0.007828198373317719
