cohort,case_id,iteration,reason,utility,accepted,reference_f1_change,improves_reference,harms_reference
controlled,environment-08f31c70d080,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-08f31c70d080,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-0c6bdf88582b,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-0c6bdf88582b,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-1c5352baae54,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-1c5352baae54,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-1c5e4f114bd3,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-1c5e4f114bd3,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-243394657c39,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-243394657c39,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-29ecdbb5e2da,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-2fdd1fa18a3a,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-320f5d37ee44,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-38fd486ef1b7,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-47f0150f2fe7,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-47f0150f2fe7,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-4c4fd0e3970b,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-4c4fd0e3970b,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-5201f128f055,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-549b9cc8bea3,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-549b9cc8bea3,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-5a0639970911,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-5ea9b2dfede9,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-5ea9b2dfede9,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-6aa1a102a25b,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-6cce9316c04c,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-6cce9316c04c,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-6db751ebec56,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-6e7826456f25,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-8133c6cc066f,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-8133c6cc066f,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-83515ec171d1,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-83515ec171d1,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-86fe686db66d,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-8f82d82a5158,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-8f82d82a5158,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-97a02c0a8570,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-9c3ab0518483,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-9c3ab0518483,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-9d45c9c3e169,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-9db536bb5481,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-9db536bb5481,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-a27e6935c7d3,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-a27e6935c7d3,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,environment-b10c2ad002c7,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-b10c2ad002c7,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-ba287414223a,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-be1577847f91,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-be1577847f91,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-c319ffb1ccdb,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-c5faa69a302d,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-c5faa69a302d,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-cd30ae6d9612,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-cd30ae6d9612,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-d0a4c0b22648,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-d0a4c0b22648,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-d85e94093ccf,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-d9632e3ceaea,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-d9632e3ceaea,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-e8fa022eb8f4,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-e93e62a9c5dc,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-e93e62a9c5dc,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-e9800521eb9e,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-ea4bd75fc6b6,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-eaf5a5cb5f20,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-eaf5a5cb5f20,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-eb202076a891,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-eeae7a82c6b7,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-eeae7a82c6b7,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-f3188f3e4ca9,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,environment-f3b91239aa3d,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-f3b91239aa3d,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-f73871bd51ba,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-f73871bd51ba,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-fab407a396a1,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,environment-fab407a396a1,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-fe552181f4cc,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,environment-fe552181f4cc,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-1d7bb07a73aa,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-1d7bb07a73aa,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-2f5191a50246,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-323400020ae8,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-323400020ae8,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-37536b6f83b2,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-37536b6f83b2,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-396b0d02c4c1,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-396b0d02c4c1,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-39b9d6db8c9e,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-39b9d6db8c9e,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-3bcd31489d79,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-3e0d22d382e3,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-40192c28bd08,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-40192c28bd08,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-48ea238a01c0,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,finance-48ea238a01c0,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,finance-4ff4450cf2b3,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-4ff4450cf2b3,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-520d023d07ef,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-5545d33c1ef2,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-581016adab6a,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-581016adab6a,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-592539c48ee2,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-5a5fd68db3d7,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-5a5fd68db3d7,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-64518520eadc,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-64518520eadc,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-6a47f782244b,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-6a47f782244b,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-73dd7d6d78cf,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-79d05b4fd693,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-79d05b4fd693,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-7a3abe60b8c1,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-80ef2586c066,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-80ef2586c066,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-84efec7f73d8,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,finance-84efec7f73d8,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,finance-97f957049a10,1,non_positive_utility,-0.1252637977669639,False,0.15384615384615385,True,False
controlled,finance-97f957049a10,1,non_positive_utility,-0.05597808348124961,False,0.08791208791208793,True,False
controlled,finance-9a945f147086,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571429,True,False
controlled,finance-9f847b0db31e,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
controlled,finance-9f847b0db31e,1,non_positive_utility,-0.13121617871934477,False,0.1428571428571428,True,False
