algorithm,seed,episode,epsilon,reward,loss,steps,final_joint,q_graph,q_rule
DQN,10000,1,1.0,0.3842539053831429,,18,0.9719905028554607,0.984441876411438,0.9408620689655172
DQN,10000,2,0.9963461538461539,0.3457463093956018,,18,0.9600405210909182,0.9876917660236358,0.890912408759124
DQN,10000,3,0.9926923076923077,0.35181386493682854,,18,0.9539445202691216,0.9713973283767701,0.9103125000000001
DQN,10000,4,0.9890384615384615,0.335514296092987,,18,0.9681864203453064,0.9885009884834289,0.9174
DQN,10000,5,0.9853846153846154,0.36506449873277963,,18,0.9699848533788568,0.9870201170444489,0.9273966942148761
DQN,10000,6,0.9817307692307692,0.3561401434032732,,18,0.9655481369285793,0.9894596993923187,0.9057692307692309
DQN,10000,7,0.9780769230769231,0.35015492327766695,,18,0.9575696105417545,0.9842324912548066,0.890912408759124
DQN,10000,8,0.974423076923077,0.34982871699431817,0.02926997056997874,18,0.9607227854599507,0.968667072057724,0.9408620689655172
DQN,10000,9,0.9707692307692307,0.3466144945049284,0.005700664387808906,18,0.9654284495694297,0.9846398293972016,0.9174
DQN,10000,10,0.9671153846153846,0.3748124176225989,0.003344509343151003,18,0.9755297074529338,0.9893967628479005,0.9408620689655172
DQN,10000,11,0.9634615384615385,0.3554246819313077,0.002996023317488531,18,0.9659758877555323,0.9960012793540955,0.890912408759124
DQN,10000,12,0.9598076923076924,0.3495347654490037,0.00406866677157167,18,0.9644473309485944,0.9896808087825775,0.9013636363636364
DQN,10000,13,0.9561538461538461,0.38123822398284374,0.0025822353976157806,18,0.9780516523504493,0.992927485704422,0.9408620689655172
DQN,10000,14,0.9525,0.3679511418543191,0.001989443605351779,18,0.9732445590366873,0.9861975550651552,0.9408620689655172
DQN,10000,15,0.9488461538461539,0.33876267911477503,0.0017615557945747343,18,0.955652601749866,0.9773681879043579,0.9013636363636364
DQN,10000,16,0.9451923076923077,0.3809994874858856,0.0015909140444515895,18,0.9705235099520003,0.9917729139328003,0.9174
DQN,10000,17,0.9415384615384615,0.37506860838988726,0.001514431868498731,18,0.9708698290968177,0.9828729331493378,0.9408620689655172
DQN,10000,18,0.9378846153846154,0.377798397236857,0.001532258459418598,18,0.9786090324136424,0.9937078177928924,0.9408620689655172
DQN,10000,19,0.9342307692307692,0.37576870233102266,0.0012930759047675463,18,0.9691826985873185,0.9963103234767914,0.9013636363636364
DQN,10000,20,0.9305769230769231,0.35407340844154367,0.0011055706353444192,18,0.9627049473081318,0.9808269262313843,0.9174
DQN,10000,21,0.926923076923077,0.3509478977446121,0.0011961389019335103,18,0.9610323381733585,0.9848998188972473,0.9013636363636364
DQN,10000,22,0.9232692307692307,0.3383310725029019,0.001274026032964078,18,0.9585414685322918,0.9855930924415589,0.890912408759124
DQN,10000,23,0.9196153846153846,0.3262911006216568,0.0011494869831949472,18,0.9546464668311082,0.9759595990180969,0.9013636363636364
DQN,10000,24,0.9159615384615385,0.3417184560386949,0.00102095699953174,18,0.9606721704477793,0.9826333463191986,0.9057692307692309
DQN,10000,25,0.9123076923076923,0.3616303824989611,0.0009589511553511127,18,0.9660355581687048,0.9901420891284943,0.9057692307692309
DQN,10000,26,0.9086538461538461,0.36274086721496873,0.0008660606593669703,18,0.9646330930306592,0.9941213667392731,0.890912408759124
DQN,10000,27,0.905,0.3641044573030797,0.000991643484060963,18,0.9669095943185496,0.9773286044597626,0.9408620689655172
DQN,10000,28,0.9013461538461538,0.36966574511626665,0.0007655364202542438,18,0.9715203414174725,0.9837836503982544,0.9408620689655172
